,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13
airborne,0.5225865887468405,-0.2064340846891454,-0.020218026657922362,-0.4477542351069338,-0.18219144865912473,0.25654908170212715,-0.3866569362614526,-0.41590677186583724,0.24092021143281428,0.061283528275422286,-0.004343784381157507,-0.009183825858034608,0.0009937393177617939
aquatic,-0.5126601087337708,0.019072431224366415,0.5696380886484886,0.24517953062755932,0.5520059599104524,-0.006623911827499491,-0.15312787566788316,-0.054221305790418325,0.043963041705667276,-0.13517939465317738,-0.011615839512660533,-0.013536624299415347,-0.023417152044245035
predator,0.031219876554227404,0.4237671530151349,-0.6598223721145622,-0.28854355929761233,0.44006720429286555,0.10414692157725444,0.08221347373507308,0.12663145768381778,0.23974453371973659,-0.10856581108417472,0.05791906202541414,0.029321030775885812,0.00671912903332456
toothed,-0.06935242060210309,0.6632966410929938,-0.33030950125754394,0.5693952022901771,0.24256478210819038,0.0930001399967407,0.041203924717338636,-0.08930598941803926,0.06585213134537428,0.19492071131097946,-0.005580324445170153,-0.044009962818854616,-0.0213053559864853
backbone,-0.5337569372908024,0.7504685306413907,0.18409747112324143,0.2657526713918079,0.09518239182404806,0.09643515127315085,0.015445609368158014,-0.08937724498826512,-0.004267796278379386,0.007281230135882665,0.010027624910454737,0.12502795003814357,0.07066893483504982
breathes,0.6748033126100696,0.3200111314400604,-0.42695063628423946,0.2966016761909875,-0.21948247149478423,-0.014254072329818608,-0.23094513446078005,0.07198755032525316,-0.03726223552637274,-0.08479100772191397,-0.138147777207337,0.19072624962946877,-0.03226559569815885
venomous,-0.036483262282064756,-0.09125767634337806,-0.5956459601017343,-0.1609909937348536,0.30766979002280065,-0.1517374607456201,0.21135246663369525,-0.5433111817427734,-0.3683576394019839,-0.12679260315953578,-0.009255491837390205,0.013016941916784779,-0.008253275685634885
fins,-0.5866199225018599,0.011253571590407456,0.5104454954044242,-0.3899714411412894,0.07811733138902478,0.2496634596759869,0.34583077937414963,-0.04839497147701381,0.037545148492764545,0.10855331296987593,-0.008511334128437817,0.19239425494762896,-0.04961331576091871
legs,0.9877425716694764,0.15037007544363926,0.032790367801468,-0.012007281285166945,0.021248727623641665,-0.0038920598935531813,0.0067110216326593235,0.000760637789258429,-0.0038362911297309794,0.0019829790698714846,-0.0013584990007110462,-0.0009577896322333897,0.0006199558444697487
tail,-0.5824546728130824,0.7270861779389343,0.07641772240604686,-0.09817473333764526,-0.042160857530669775,-0.07644186434637065,0.1543601131380202,-0.047032050442330664,0.13863795004479343,-0.0288661868257603,-0.2417277674406529,-0.06596039957757927,0.010840515517799628
domestic,0.051496897786074414,0.4286179664548178,0.12482101183936795,0.21048930576967456,-0.29804476035011157,-0.6796459176426511,0.11781640636934071,-0.19819436748040467,0.34919357561713543,-0.018922692496903086,0.14327268296055126,0.08245485634325812,-0.014752067597774934
catsize,-0.6543324331277153,0.28922770466075826,-0.025988045332611277,-0.4067969599393281,0.3871535445159277,-0.30476940369034666,-0.18498250467494953,0.08048900997367904,-0.08216008006573869,0.16677208656389048,-0.04355212916691004,0.04530919275373446,0.007421183336755043
class_type,0.3847344691215821,-0.9179592868618646,-0.02307752720506666,0.051943473775353625,0.06000357504901043,-0.01687136847084765,0.020720791119583762,-0.0052780499485236875,0.029963149338214392,0.012927891119747062,-0.022695440241255558,0.012138791322147645,0.005459319173972673
